Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Grade,Electricity_Availability,Internet_Accessibility,Peer_Influence,Community_Beliefs,Family_Support,Home_Study_Environment,Motivation_Level,Lecture_Quality,Physical_Health,Psychological_State
22,Female,8.32,81.6,5.7,5.3,1.9,1.8,Yes,Online,Poor,Good,No,1,High,3.1,A,0.64,1,Positive,4.9,1.6,2.6,2.6,3.2,5.0,2.7
19,Female,6.9,64.3,5.5,7.8,5.7,1.76,Yes,Offline,Poor,Average,Yes,2,Middle,5.7,B,0.49,2,Positive,1.5,2.1,3.1,4.5,2.8,4.7,2.0
24,Female,8.0,98.3,5.8,5.7,4.6,2.17,Yes,Offline,Poor,Good,Yes,3,Middle,3.8,A,0.65,0,Positive,1.3,1.9,4.7,3.0,2.7,3.4,1.7
24,Female,4.08,81.2,6.6,5.7,0.5,1.58,Yes,Offline,Average,Good,Yes,0,High,6.1,B,0.86,2,Positive,4.0,3.6,3.7,3.8,4.2,3.2,1.2
19,Female,5.06,85.8,6.8,4.1,4.3,2.15,Yes,Offline,Poor,Good,Yes,2,High,3.8,A,0.56,1,Positive,5.0,3.8,5.0,2.1,3.4,3.2,2.4
24,Male,5.91,85.2,7.9,4.6,5.3,2.2,No,Offline,Good,Excellent,Yes,3,High,5.5,A,0.59,2,Neutral,4.2,2.1,3.5,3.3,3.1,5.0,3.5
18,Female,4.83,72.4,6.5,2.9,5.4,2.08,No,Hybrid,Poor,Poor,Yes,3,High,3.4,A,0.51,1,Neutral,3.7,2.5,4.2,4.0,2.1,3.6,4.2
24,Female,8.5,94.5,6.4,5.6,4.0,1.89,No,Online,Average,Excellent,No,2,Low,7.0,A,0.5,2,Positive,4.2,4.1,3.1,3.9,2.9,3.9,1.9
18,Female,2.51,82.6,5.8,4.6,5.0,1.57,Yes,Offline,Average,Good,No,1,High,5.1,C,0.7,0,Neutral,1.7,1.7,5.0,3.1,1.5,5.0,1.7
18,Female,4.01,79.4,7.4,5.5,7.4,1.7,No,Online,Good,Good,Yes,0,Middle,4.4,C,0.68,2,Neutral,2.8,2.7,5.0,2.7,3.6,3.3,2.0
22,Female,4.46,91.2,5.7,4.0,4.7,2.31,Yes,Offline,Poor,Good,Yes,3,Middle,3.5,A,0.31,1,Neutral,3.0,4.1,2.8,1.9,4.1,3.6,1.7
21,Female,3.74,71.9,6.4,5.2,5.1,1.99,Yes,Offline,Poor,Good,No,2,Middle,4.4,C,0.32,2,Positive,2.9,2.0,3.6,1.4,3.8,4.2,4.4
25,Male,6.85,87.5,7.6,9.7,4.0,1.7,Yes,Hybrid,Average,Excellent,No,3,Middle,1.6,A,0.78,2,Neutral,3.5,1.0,3.1,2.9,2.5,5.0,1.1
20,Male,1.17,98.6,8.1,4.9,6.6,1.94,No,Offline,Average,Excellent,No,2,Middle,5.9,B,0.59,2,Negative,3.0,2.3,3.0,2.6,1.3,5.0,2.2
19,Male,7.43,76.1,8.1,6.2,4.3,2.02,No,Hybrid,Good,Average,No,1,High,1.0,A,0.53,0,Positive,2.6,2.3,5.0,4.1,2.7,5.0,3.5
21,Male,6.97,85.5,7.9,6.0,0.5,1.84,Yes,Offline,Average,Average,No,1,High,2.7,A,0.99,2,Positive,1.8,2.7,4.5,2.1,4.1,5.0,2.9
20,Female,5.79,67.8,7.4,2.5,4.1,1.61,No,Offline,Poor,Good,Yes,2,Middle,2.0,A,0.13,2,Positive,2.9,3.2,3.3,2.6,3.4,3.8,4.0
20,Male,7.95,83.4,7.0,6.0,5.9,1.79,No,Hybrid,Average,Excellent,Yes,2,Middle,4.0,A,0.52,1,Positive,1.7,2.9,4.0,3.6,3.0,4.5,3.6
23,Male,9.86,83.8,8.5,2.1,4.6,2.33,Yes,Online,Good,Average,No,3,High,1.0,A,0.53,2,Positive,2.9,1.1,3.5,3.8,3.6,4.1,3.7
23,Non-Binary,5.53,64.7,6.8,7.1,3.0,1.6,No,Hybrid,Poor,Good,Yes,2,Middle,6.0,B,0.74,2,Negative,3.3,2.5,2.7,2.6,2.7,3.8,3.1
25,Male,6.63,97.2,5.1,4.1,4.0,1.27,Yes,Online,Good,Good,No,2,Middle,4.9,A,0.67,0,Positive,2.3,2.3,3.0,2.4,2.9,4.2,2.6
28,Male,5.95,100.0,7.5,4.0,3.3,1.74,No,Hybrid,Poor,Good,No,3,Middle,1.2,A,0.54,1,Neutral,3.7,3.9,3.2,3.7,3.7,4.7,3.1
19,Male,6.21,62.2,6.5,3.8,4.1,1.95,Yes,Online,Average,Good,No,1,High,4.1,A,0.88,2,Neutral,4.0,3.5,5.0,3.3,2.4,4.0,3.8
23,Male,4.16,85.2,7.8,1.6,1.8,2.2,Yes,Offline,Average,Good,Yes,4,Middle,4.2,A,0.24,1,Positive,2.5,4.0,3.7,3.7,2.5,5.0,4.5
20,Female,3.73,76.8,6.8,4.9,4.3,1.66,No,Hybrid,Poor,Excellent,No,1,High,6.3,B,0.61,2,Negative,2.6,3.5,4.1,3.6,4.2,4.9,3.3
22,Female,6.39,78.5,6.1,4.4,5.4,1.56,No,Hybrid,Poor,Good,No,3,Middle,1.6,A,0.58,1,Positive,3.7,2.9,2.5,2.4,2.3,4.8,3.0
21,Female,4.14,85.1,7.7,7.7,4.4,1.55,Yes,Offline,Average,Good,No,1,Low,3.3,C,0.8,0,Positive,2.0,2.0,2.5,2.8,1.4,4.3,1.7
29,Male,7.04,81.5,7.0,5.5,1.1,2.31,No,Offline,Good,Average,Yes,0,Low,6.1,A,0.9,0,Positive,1.9,2.5,3.3,2.6,1.7,3.8,2.9
23,Female,6.78,78.9,6.0,2.6,1.6,1.61,No,Online,Good,Good,No,3,Middle,2.9,A,0.83,2,Neutral,2.6,3.8,3.9,4.5,3.3,4.8,4.3
27,Male,4.29,83.8,5.2,7.5,3.0,1.92,No,Offline,Average,Average,No,2,Middle,4.3,B,0.45,1,Negative,3.0,2.1,3.0,1.4,4.1,5.0,2.5
24,Male,5.91,77.0,5.8,4.4,5.1,1.5,No,Offline,Average,Average,No,1,Middle,5.4,B,0.37,0,Neutral,2.5,2.9,2.8,3.0,5.0,4.2,2.3
25,Male,5.35,83.1,8.2,5.9,3.0,1.39,No,Online,Poor,Good,No,1,Middle,3.0,B,0.41,0,Neutral,3.6,2.5,3.1,4.0,2.3,4.7,2.5
24,Male,4.92,74.2,9.0,5.9,3.0,1.26,No,Offline,Poor,Good,No,1,Middle,4.3,B,0.33,1,Positive,1.6,2.4,2.9,2.0,1.2,4.4,2.3
20,Male,7.46,89.7,8.0,3.9,5.4,1.77,No,Offline,Average,Good,Yes,0,High,5.4,A,0.27,0,Positive,3.4,3.9,3.5,2.7,5.0,4.6,4.4
19,Male,5.28,100.0,5.7,1.5,3.0,1.83,No,Online,Average,Average,Yes,0,High,1.8,A,0.87,1,Positive,2.5,2.8,4.6,4.6,3.9,5.0,3.1
20,Non-Binary,5.66,81.2,6.4,2.4,3.0,2.39,No,Online,Good,Good,No,3,Middle,3.6,A,0.81,0,Positive,4.6,2.2,4.8,3.1,2.8,4.7,2.9
17,Male,1.32,77.9,6.9,4.0,4.1,1.65,No,Offline,Poor,Good,No,0,High,4.5,C,0.6,1,Negative,3.9,3.4,3.1,4.0,2.6,3.6,3.1
21,Male,6.39,94.4,7.6,6.7,3.1,1.61,No,Offline,Average,Good,Yes,4,Middle,3.1,A,0.47,0,Positive,3.1,2.4,3.6,2.6,2.6,4.8,2.3
21,Male,2.32,61.2,5.9,6.0,6.4,1.9,No,Offline,Poor,Average,No,2,Low,7.6,C,0.7,0,Neutral,3.0,2.1,5.0,2.7,2.7,4.6,1.7
21,Female,4.43,79.1,8.0,6.5,4.9,1.55,Yes,Hybrid,Average,Good,Yes,3,Middle,7.5,C,0.49,0,Negative,2.5,2.1,3.4,4.1,3.2,5.0,1.0
28,Male,8.42,69.5,8.1,2.0,4.1,1.67,No,Hybrid,Poor,Excellent,Yes,1,Middle,4.4,A,0.45,1,Positive,1.0,2.9,3.6,2.4,3.4,3.3,2.6
26,Female,8.77,75.3,6.2,1.8,0.5,1.72,Yes,Offline,Good,Average,No,0,Middle,4.9,A,0.47,1,Positive,3.1,2.6,2.9,3.6,4.0,4.3,3.8
18,Non-Binary,4.42,70.2,6.2,5.2,6.2,1.4,Yes,Offline,Average,Average,Yes,0,High,6.5,C,0.88,2,Neutral,4.1,4.0,5.0,3.1,2.6,5.0,2.7
20,Male,2.69,77.9,7.8,1.9,7.4,1.57,Yes,Hybrid,Poor,Good,Yes,1,High,4.3,C,0.37,2,Negative,2.1,4.1,3.2,4.9,4.2,3.9,3.7
20,Male,6.0,92.9,8.2,6.8,3.4,2.17,No,Offline,Average,Good,No,0,Low,4.4,A,0.71,0,Positive,2.2,1.4,5.0,3.2,2.5,4.3,2.3
20,Male,4.41,72.2,7.8,5.2,3.6,1.61,No,Hybrid,Average,Good,No,2,Middle,1.4,A,0.64,2,Positive,3.1,2.2,3.4,1.5,3.4,5.0,3.4
24,Female,5.88,78.5,5.7,7.2,4.8,1.77,No,Online,Good,Good,Yes,2,Middle,2.7,A,0.93,0,Positive,1.7,2.1,3.9,3.4,1.1,3.6,2.4
21,Male,2.52,92.0,5.0,5.6,5.5,1.49,Yes,Online,Average,Average,Yes,0,High,6.1,C,0.45,2,Neutral,2.3,1.0,4.2,4.2,2.4,3.6,2.3
21,Male,7.44,85.8,7.3,4.6,3.8,1.78,Yes,Online,Average,Average,Yes,1,Low,2.6,A,0.19,0,Positive,2.6,2.3,5.0,2.9,3.3,3.4,4.2
25,Male,8.3,88.0,8.2,4.6,4.7,1.95,No,Online,Poor,Average,Yes,2,Middle,1.5,A,0.61,2,Neutral,3.1,3.2,2.7,4.3,1.9,3.7,3.8
24,Female,2.32,79.4,7.9,3.3,3.9,1.29,Yes,Hybrid,Poor,Average,Yes,0,High,6.2,D,0.33,2,Positive,5.0,2.8,4.7,3.5,2.1,4.6,3.5
18,Male,3.67,75.5,5.8,8.3,3.7,1.57,Yes,Offline,Average,Good,Yes,0,High,7.3,C,0.31,0,Positive,3.0,3.3,4.1,3.0,3.8,2.5,2.4
23,Male,3.82,76.1,7.6,2.6,2.8,2.14,Yes,Hybrid,Average,Poor,Yes,2,Middle,6.1,A,0.84,1,Neutral,3.4,3.4,2.3,4.6,1.6,5.0,3.9
20,Female,6.67,76.7,7.7,5.5,3.9,1.74,No,Offline,Average,Excellent,No,2,Low,3.6,A,0.85,1,Positive,2.9,3.8,3.6,4.4,3.2,4.8,4.2
19,Female,1.28,67.4,6.2,3.2,2.1,1.8,Yes,Online,Poor,Excellent,Yes,1,Middle,6.8,C,0.52,2,Neutral,3.3,3.5,3.8,2.4,4.3,3.5,2.4
17,Female,5.62,57.0,5.4,1.8,4.0,1.58,No,Online,Good,Excellent,Yes,1,High,3.4,A,0.53,2,Neutral,3.2,3.1,4.1,2.8,4.0,3.3,3.5
21,Male,4.75,75.2,9.6,8.0,2.0,2.2,No,Hybrid,Poor,Excellent,Yes,0,Middle,1.4,B,0.5,2,Neutral,4.0,1.5,4.9,2.0,5.0,4.2,2.1
20,Female,3.63,82.7,7.6,1.6,6.1,1.54,No,Offline,Average,Good,Yes,3,High,3.4,B,0.81,1,Positive,4.7,2.3,3.6,3.5,3.0,5.0,3.6
19,Female,6.62,74.8,8.0,3.5,4.6,2.26,Yes,Online,Poor,Excellent,No,3,Middle,3.1,A,0.41,1,Positive,2.9,3.2,2.4,4.2,3.5,4.8,3.4
23,Male,1.31,91.3,9.7,6.1,3.2,1.51,No,Online,Average,Average,Yes,2,Middle,5.0,B,0.08,0,Neutral,2.6,3.3,1.6,2.2,3.3,5.0,3.4
23,Female,2.48,92.0,7.7,8.2,5.0,1.59,Yes,Offline,Good,Poor,Yes,1,Middle,4.6,B,0.29,0,Neutral,5.0,2.4,4.4,3.4,3.4,5.0,2.9
19,Male,3.65,81.2,6.2,4.9,3.6,1.92,No,Offline,Good,Good,Yes,1,Middle,4.7,B,0.33,1,Neutral,4.7,3.1,4.4,2.3,3.4,5.0,2.2
17,Female,6.63,77.0,6.6,2.0,3.1,1.29,Yes,Offline,Poor,Poor,No,2,Middle,3.6,B,0.43,1,Neutral,3.4,3.7,3.6,4.6,1.7,4.6,3.9
24,Male,4.52,84.8,8.7,4.6,5.3,1.66,No,Online,Average,Excellent,Yes,0,Middle,4.4,A,0.73,1,Neutral,4.3,2.5,3.3,4.4,3.2,4.7,2.8
17,Female,3.56,75.2,7.2,5.9,4.0,1.63,Yes,Online,Good,Good,No,0,High,2.5,B,0.9,1,Neutral,4.6,3.0,4.4,3.0,4.8,5.0,2.7
26,Male,6.17,78.2,6.4,3.8,3.7,1.81,No,Online,Average,Good,Yes,1,Low,5.1,A,0.3,0,Neutral,2.8,3.4,5.0,3.1,3.6,3.2,3.5
22,Female,4.26,71.9,9.3,3.9,4.2,1.84,Yes,Offline,Poor,Average,Yes,1,Middle,3.6,B,0.53,0,Negative,4.0,2.0,3.7,3.6,2.4,4.0,3.1
19,Male,3.93,73.8,7.4,7.1,4.3,1.55,No,Hybrid,Good,Good,No,0,Middle,8.2,B,0.81,2,Neutral,3.2,2.6,4.4,2.8,3.8,4.8,1.9
19,Non-Binary,4.61,86.1,7.6,7.1,3.2,1.2,No,Hybrid,Average,Poor,No,2,Middle,3.8,A,0.36,0,Neutral,3.2,2.8,1.8,4.1,1.2,5.0,2.1
17,Female,5.9,76.2,8.3,4.5,4.2,1.7,No,Offline,Average,Excellent,No,2,High,3.1,A,0.88,1,Positive,3.8,3.1,4.9,1.6,3.5,5.0,3.0
19,Male,10.61,85.3,5.1,6.5,1.8,1.86,No,Online,Poor,Average,Yes,3,Middle,3.4,A,0.28,2,Neutral,4.8,2.7,4.1,2.9,1.0,3.2,2.7
18,Female,3.05,80.4,6.6,4.9,4.9,1.47,No,Hybrid,Average,Good,No,3,Middle,4.8,C,0.53,0,Neutral,3.6,3.4,3.2,3.1,1.8,4.6,3.3
22,Non-Binary,5.78,81.1,7.4,1.0,6.3,1.85,Yes,Online,Good,Average,Yes,1,Middle,4.7,A,0.52,0,Positive,3.9,5.0,3.5,3.5,2.3,4.0,2.5
18,Male,4.92,83.7,6.8,6.5,5.0,1.37,Yes,Offline,Poor,Poor,No,1,Middle,5.2,B,0.7,1,Neutral,3.9,2.7,4.4,2.3,2.0,4.4,1.0
21,Male,4.71,58.4,8.0,2.6,6.1,2.08,Yes,Offline,Average,Good,No,2,Low,5.3,A,0.23,0,Positive,4.3,4.4,2.8,3.2,3.8,4.8,2.6
22,Female,8.27,76.1,5.9,1.0,1.0,1.83,Yes,Hybrid,Average,Average,Yes,2,High,4.4,A,0.84,0,Positive,3.6,2.0,5.0,2.3,2.4,5.0,3.7
19,Male,6.78,83.3,5.9,5.8,6.9,2.39,Yes,Online,Good,Good,No,1,Low,3.6,A,0.57,1,Positive,3.3,2.7,2.3,4.4,1.6,5.0,2.9
17,Male,6.58,94.8,7.1,6.0,2.6,1.8,No,Hybrid,Poor,Average,No,1,Middle,4.2,A,0.72,2,Positive,2.7,1.3,4.1,3.1,2.5,5.0,4.0
17,Male,4.34,85.6,7.0,5.5,5.2,1.76,No,Hybrid,Average,Average,Yes,2,Middle,5.6,A,0.46,1,Positive,3.7,2.3,4.2,2.6,2.7,2.6,3.1
17,Male,3.55,100.0,5.4,6.4,5.0,2.25,No,Hybrid,Good,Good,No,1,Low,4.9,A,0.51,2,Positive,2.7,3.9,3.5,1.9,3.2,3.8,3.7
23,Male,5.83,93.4,7.3,6.1,1.5,1.68,No,Hybrid,Average,Average,No,3,Low,3.8,A,0.69,0,Neutral,3.1,3.2,2.6,4.5,2.4,4.4,3.1
19,Male,4.68,81.9,8.6,6.4,3.5,1.86,No,Online,Good,Average,Yes,2,Low,4.7,A,0.67,1,Positive,2.0,2.6,4.4,1.5,4.0,5.0,1.6
24,Female,4.1,67.7,6.7,5.4,5.0,1.65,No,Offline,Good,Excellent,No,1,Middle,3.2,B,0.54,2,Neutral,5.0,3.6,2.5,1.0,3.3,4.0,3.0
20,Female,6.59,77.5,5.9,6.2,2.3,1.62,No,Offline,Average,Average,Yes,1,High,8.2,B,0.36,1,Neutral,1.9,2.8,3.0,2.7,2.7,3.8,2.2
20,Male,2.84,78.3,9.3,1.9,5.2,2.09,No,Online,Average,Poor,No,2,High,4.7,A,0.44,0,Neutral,3.6,2.9,3.9,3.1,3.9,4.5,4.2
21,Female,3.8,81.4,9.5,3.9,4.7,1.43,Yes,Offline,Good,Average,No,1,Low,4.7,A,0.67,2,Positive,2.3,1.6,4.1,2.9,5.0,4.7,2.3
23,Female,6.83,84.3,6.8,7.4,4.2,1.61,No,Hybrid,Average,Good,No,2,Middle,3.7,A,0.46,0,Positive,1.7,2.7,2.9,2.3,3.0,4.5,2.3
19,Female,5.09,67.3,8.1,8.7,6.5,1.25,Yes,Offline,Average,Good,Yes,2,High,2.5,C,0.3,0,Positive,3.5,1.4,2.3,1.4,1.1,4.7,3.4
18,Male,6.59,85.5,6.3,7.8,5.2,1.77,Yes,Offline,Average,Average,No,1,Low,4.7,B,0.64,1,Positive,4.6,2.3,4.0,3.3,2.9,4.4,1.2
21,Male,3.56,77.6,7.0,4.9,6.4,1.56,No,Hybrid,Average,Good,Yes,1,High,6.2,C,0.7,0,Positive,2.3,2.7,2.6,1.6,4.5,4.5,3.0
19,Female,6.67,73.8,5.6,3.2,1.4,1.83,Yes,Online,Average,Poor,Yes,3,Middle,3.0,A,0.45,0,Positive,3.6,2.7,3.9,3.2,2.6,5.0,3.2
20,Female,3.85,67.6,6.9,4.4,7.6,1.52,No,Hybrid,Poor,Good,Yes,0,Middle,4.0,B,0.22,2,Negative,4.9,3.1,3.7,3.1,3.1,4.2,4.4
22,Female,7.97,82.5,8.9,6.2,6.4,1.47,No,Online,Average,Average,No,4,Middle,3.5,A,0.99,0,Positive,5.0,4.0,5.0,3.0,1.6,3.5,3.4
21,Female,6.85,75.3,7.3,4.4,1.3,2.18,No,Offline,Average,Good,No,1,Low,5.1,A,0.52,0,Neutral,2.8,3.0,3.9,5.0,3.5,4.3,2.7
22,Male,6.2,58.0,8.1,5.1,8.0,1.1,Yes,Hybrid,Average,Excellent,Yes,1,Middle,7.8,C,0.64,1,Neutral,3.0,2.7,3.4,4.0,2.1,4.5,2.2
21,Female,8.34,81.0,5.2,8.7,3.9,1.9,No,Hybrid,Good,Good,No,3,Middle,3.6,A,0.51,0,Positive,3.2,2.0,3.9,3.2,4.1,5.0,2.6
23,Male,5.97,78.4,7.7,6.6,5.1,2.01,Yes,Hybrid,Average,Excellent,Yes,1,Middle,3.5,A,0.34,2,Positive,3.8,2.5,4.3,2.7,2.3,5.0,3.7
23,Male,4.01,63.8,7.0,7.8,3.7,2.39,No,Online,Average,Average,No,3,Middle,3.8,B,0.65,2,Neutral,2.9,3.2,4.2,1.5,1.3,5.0,2.2
21,Female,8.38,86.6,8.1,1.0,7.1,1.83,No,Online,Average,Poor,No,3,Low,3.8,A,0.21,1,Positive,3.7,1.0,2.9,5.0,3.3,5.0,3.3
22,Male,5.97,77.5,6.0,5.5,3.0,2.27,No,Offline,Good,Average,Yes,4,Middle,3.8,A,0.63,2,Positive,3.0,2.5,5.0,2.8,2.5,4.7,3.5
25,Male,7.72,84.1,7.2,6.7,2.5,1.68,Yes,Hybrid,Good,Average,Yes,2,Middle,4.4,A,0.92,0,Positive,2.3,1.0,3.2,2.6,1.6,4.0,2.4
20,Female,5.59,67.9,4.8,5.6,5.0,2.01,Yes,Hybrid,Average,Average,Yes,1,Middle,3.9,B,0.57,1,Neutral,3.5,2.3,2.4,3.4,3.8,4.1,2.4
20,Male,7.61,74.9,6.2,4.2,4.9,2.09,Yes,Online,Poor,Poor,Yes,2,Low,4.8,A,0.33,1,Positive,2.5,2.9,1.4,3.0,2.7,3.2,3.6
23,Non-Binary,3.56,83.9,8.6,7.2,3.5,1.77,Yes,Offline,Poor,Good,No,0,Middle,6.1,C,0.29,1,Neutral,2.1,3.2,4.7,3.1,4.1,2.6,3.5
22,Non-Binary,2.77,86.8,7.3,3.1,2.9,1.84,No,Offline,Average,Average,Yes,2,Middle,3.5,A,0.45,2,Negative,3.1,3.7,2.9,3.2,2.5,4.5,2.9
17,Female,2.49,73.3,5.8,4.4,4.7,1.77,No,Online,Good,Average,No,1,High,2.8,C,0.54,1,Positive,2.3,3.9,3.8,1.7,2.7,5.0,3.5
25,Male,6.81,53.9,8.5,6.0,2.1,1.98,No,Online,Good,Average,No,3,High,2.0,A,0.93,0,Positive,2.7,2.3,4.6,4.0,3.5,4.2,3.6
17,Male,1.37,82.3,7.7,4.3,4.0,2.15,No,Hybrid,Good,Excellent,No,0,Low,7.3,B,0.59,1,Positive,4.0,2.1,2.8,3.3,3.6,3.6,1.9
23,Male,1.74,77.9,6.9,3.9,5.4,1.3,No,Offline,Average,Average,Yes,1,Middle,3.1,C,0.69,2,Neutral,2.5,2.4,5.0,2.8,2.0,5.0,3.6
23,Male,2.47,94.0,7.5,3.1,5.6,1.25,Yes,Online,Poor,Good,No,1,Low,8.5,D,0.32,2,Positive,1.9,3.6,4.2,2.8,2.9,5.0,2.3
27,Male,5.76,70.0,6.7,7.8,6.0,1.36,No,Hybrid,Average,Good,No,2,Low,2.0,B,0.47,2,Positive,3.7,3.4,3.9,1.2,5.0,4.0,3.5
17,Non-Binary,6.18,84.8,7.9,2.9,3.7,2.02,Yes,Offline,Poor,Good,No,1,Middle,2.3,A,0.7,0,Positive,4.2,3.4,3.9,3.6,4.7,3.1,4.3
22,Male,3.68,65.4,9.3,4.5,5.8,1.68,Yes,Offline,Average,Average,No,2,Low,4.0,B,0.08,0,Positive,2.6,2.4,2.4,2.1,3.4,5.0,4.2
20,Female,6.88,83.0,4.8,3.8,2.4,1.75,No,Online,Average,Average,Yes,2,Low,6.5,A,0.11,2,Positive,4.4,1.8,1.9,4.2,5.0,3.4,1.0
20,Male,5.94,76.5,7.5,4.3,5.8,1.53,No,Online,Poor,Good,Yes,1,Low,5.2,B,0.1,2,Neutral,3.6,2.7,3.1,4.3,3.3,5.0,4.0
18,Female,7.73,82.3,4.0,5.7,4.9,1.32,No,Hybrid,Good,Average,No,0,Middle,4.2,B,0.44,0,Positive,4.5,3.2,3.1,4.7,2.2,3.7,2.3
21,Female,7.2,79.4,7.0,2.6,5.1,1.77,No,Online,Average,Average,No,4,Low,2.3,A,0.73,2,Positive,2.1,2.1,4.2,4.5,4.3,4.9,3.3
21,Male,3.93,78.3,6.0,7.3,2.9,1.25,No,Online,Poor,Average,No,0,Middle,7.7,D,0.32,2,Neutral,1.3,4.0,2.6,4.5,1.5,4.0,1.4
18,Male,5.71,95.7,7.8,3.0,4.7,1.63,Yes,Offline,Good,Excellent,Yes,0,Middle,3.3,A,0.29,2,Positive,3.6,2.9,2.2,2.8,2.1,4.8,3.0
22,Female,4.98,91.8,7.3,5.0,3.6,1.91,No,Offline,Good,Good,No,3,Low,3.0,A,0.38,0,Positive,3.1,3.6,4.1,2.6,3.1,4.9,3.7
23,Female,6.24,80.2,8.2,8.4,5.3,1.79,No,Offline,Average,Good,Yes,3,Low,3.0,A,0.42,0,Neutral,3.3,1.4,3.2,3.0,4.4,4.7,1.2
23,Female,5.72,70.9,7.3,5.7,4.7,1.41,Yes,Online,Average,Good,Yes,3,Low,5.8,B,0.38,1,Positive,3.5,2.3,3.8,3.0,4.3,4.7,2.1
25,Male,5.37,71.9,8.3,9.1,4.2,1.93,Yes,Online,Average,Excellent,No,1,Middle,6.0,B,0.29,2,Positive,4.6,3.2,4.3,2.1,1.7,4.2,1.8
20,Male,6.74,90.7,5.3,4.1,5.5,1.53,Yes,Offline,Poor,Good,Yes,1,High,4.1,C,0.31,1,Positive,2.4,1.9,3.4,4.5,2.0,5.0,2.6
27,Female,5.44,80.5,5.3,5.5,5.4,1.57,No,Offline,Good,Good,No,1,Low,3.6,B,0.93,1,Positive,4.7,3.1,2.3,2.2,1.8,2.7,1.0
25,Female,6.79,72.9,4.7,1.0,3.5,1.6,Yes,Hybrid,Good,Excellent,No,3,Middle,2.4,A,0.19,2,Positive,2.5,2.7,5.0,4.7,3.0,5.0,3.0
19,Male,5.39,73.4,6.4,3.8,3.5,1.73,Yes,Online,Good,Good,No,1,Middle,4.5,A,0.68,0,Positive,3.5,2.2,5.0,3.7,3.2,4.7,2.4
18,Female,5.01,93.7,6.1,7.8,3.5,2.04,Yes,Offline,Average,Average,No,1,Middle,5.4,A,0.91,0,Neutral,3.4,2.3,4.5,1.6,2.7,3.1,1.8
20,Male,7.17,81.3,8.7,6.0,5.5,1.8,No,Offline,Good,Average,No,2,High,4.2,A,0.84,1,Positive,2.3,2.1,4.2,3.5,2.4,5.0,2.7
20,Male,7.23,71.3,8.4,5.9,3.9,1.78,Yes,Hybrid,Average,Good,Yes,1,High,1.0,A,0.3,2,Positive,3.5,2.9,3.2,2.0,2.3,5.0,2.9
21,Male,7.8,95.2,7.6,5.4,2.5,1.76,Yes,Online,Average,Excellent,No,4,Low,5.2,A,0.82,1,Neutral,2.0,2.5,4.2,3.4,4.5,5.0,3.7
22,Male,6.58,83.9,7.1,4.8,4.8,1.64,Yes,Online,Good,Good,No,3,Middle,2.6,B,0.21,0,Positive,1.1,2.2,3.9,3.4,2.2,3.7,3.7
23,Female,4.9,66.2,8.1,3.2,5.4,2.39,No,Hybrid,Good,Good,No,2,Middle,2.4,A,0.39,2,Neutral,4.0,2.9,3.5,3.4,1.5,5.0,3.5
21,Male,5.71,67.6,5.8,6.0,3.3,1.78,No,Hybrid,Poor,Good,No,0,High,4.9,B,0.56,2,Positive,4.1,3.8,3.4,3.5,5.0,3.7,3.1
18,Male,5.64,83.2,7.9,2.1,4.9,1.9,Yes,Hybrid,Average,Good,Yes,2,High,4.0,A,0.32,1,Positive,1.6,2.4,4.7,2.9,3.0,4.2,4.7
25,Female,1.82,72.7,6.3,5.1,5.3,1.4,No,Offline,Good,Good,Yes,0,Low,8.7,Fail,0.51,1,Neutral,2.8,1.9,2.8,1.3,3.3,4.7,2.9
19,Female,3.09,75.7,9.0,6.8,4.2,1.98,Yes,Offline,Poor,Average,Yes,2,Middle,4.0,B,0.35,2,Neutral,1.9,1.7,4.4,2.3,2.2,5.0,2.3
28,Female,8.37,98.2,7.2,4.0,2.0,2.39,Yes,Hybrid,Average,Excellent,No,1,High,2.7,A,0.98,1,Positive,3.7,2.1,4.3,2.7,3.2,5.0,4.2
18,Female,5.21,99.7,7.1,4.1,6.0,1.57,Yes,Offline,Average,Good,No,2,Middle,3.7,A,0.53,2,Positive,4.1,2.2,5.0,2.7,2.1,4.4,3.0
27,Male,0.68,98.1,6.3,5.9,5.2,1.85,No,Hybrid,Poor,Good,No,0,Middle,8.3,D,0.79,2,Neutral,2.1,1.6,3.1,1.9,2.0,5.0,2.1
18,Female,5.09,84.9,7.9,3.1,1.3,1.69,No,Hybrid,Average,Average,No,1,Middle,5.0,A,0.95,0,Positive,1.0,3.7,5.0,3.2,2.3,5.0,3.6
19,Female,5.65,82.9,8.3,4.7,2.6,2.05,Yes,Online,Poor,Average,No,2,Low,4.3,A,0.58,0,Positive,3.5,2.9,3.4,3.0,2.0,4.8,2.7
17,Female,2.87,68.9,8.7,2.4,5.2,1.46,No,Offline,Average,Good,Yes,2,High,7.4,C,0.98,1,Neutral,3.6,3.1,4.6,3.0,4.2,4.7,4.5
23,Male,9.87,68.5,6.7,6.8,3.9,2.21,Yes,Online,Average,Good,Yes,3,High,5.2,A,0.78,2,Positive,2.1,4.4,3.7,4.5,2.9,3.4,2.9
